M1_B1_2024,M2_B1_2024,M3_B1_2024,M4_B1_2024,M1_B2_2024,M2_B2_2024,M3_B2_2024,M4_B2_2024,M1_B3_2024,M2_B3_2024,M3_B3_2024,M4_B3_2024,M1_B4_2024,M2_B4_2024,M3_B4_2024,M4_B4_2024,M1_B1_2023,M2_B1_2023,M3_B1_2023,M4_B1_2023,M1_B2_2023,M2_B2_2023,M3_B2_2023,M4_B2_2023,M1_B3_2023,M2_B3_2023,M3_B3_2023,M4_B3_2023,M1_B4_2023,M2_B4_2023,M3_B4_2023,M4_B4_2023,M1_B1_2022,M2_B1_2022,M3_B1_2022,M4_B1_2022,M1_B2_2022,M2_B2_2022,M3_B2_2022,M4_B2_2022,M1_B3_2022,M2_B3_2022,M3_B3_2022,M4_B3_2022,M1_B4_2022,M2_B4_2022,M3_B4_2022,M4_B4_2022,M1_B1_2021,M2_B1_2021,M3_B1_2021,M4_B1_2021,M1_B2_2021,M2_B2_2021,M3_B2_2021,M4_B2_2021,M1_B3_2021,M2_B3_2021,M3_B3_2021,M4_B3_2021,M1_B4_2021,M2_B4_2021,M3_B4_2021,M4_B4_2021,M1_B1_2025,M2_B1_2025,M3_B1_2025,M4_B1_2025,M1_B2_2025,M2_B2_2025,M3_B2_2025,M4_B2_2025
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
